Rank,Title,Score,Format,Date,Viewers,Studio,Genres,Source,Rating,Recommendation,Details,Prequel,Sequel,Samurai,Demons,Sports,Harem,Cars,Drama,Adventure,Suspense,Josei,Game,Space,Mystery,Horror,Shounen,Super Power,Music,Vampire,Boys Love,Military,Action,Romance,Slice of Life,Fantasy,Gourmet,Parody,Martial Arts,Ecchi,Sci-Fi,Seinen,Mecha,Avant Garde,School,Supernatural,Historical,Girls Love,Shoujo,Kids,Psychological,Police,Comedy,Media,Episodes
257,Boku no Hero Academia the Movie 1: Futari no Hero,7.62,Movie (1 eps),Aug 2018 - Aug 2018,"564,028",Bones,"['Action', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Hunter x Hunter Movie 2: The Last Mission,"['Adaptation:', 'Parent story:', 'Side story:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Movie,1
258,Serial Experiments Lain,8.05,TV (13 eps),Jul 1998 - Sep 1998,"565,227",Triangle Staff,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Psychological']",Original,R - 17+ (violence & profanity),Neon Genesis Evangelion,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,TV,13
259,Rokudenashi Majutsu Koushi to Akashic Records,7.17,TV (12 eps),Apr 2017 - Jun 2017,"563,508",LIDENFILMS,"['Action', 'Fantasy', 'School']",Light novel,R - 17+ (violence & profanity),Mahouka Koukou no Rettousei,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TV,12
260,91 Days,7.83,TV (12 eps),Jul 2016 - Oct 2016,"563,016",Shuka,"['Action', 'Drama', 'Historical']",Original,R - 17+ (violence & profanity),Baccano!,"['Summary:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TV,12
261,Kore wa Zombie Desu ka?,7.39,TV (12 eps),Jan 2011 - Mar 2011,"561,041",Studio Deen,"['Action', 'Comedy', 'Supernatural', 'Ecchi', 'Harem']",Light novel,R - 17+ (violence & profanity),High School DxD,"['Adaptation:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
262,Psycho-Pass 2,7.41,TV (11 eps),Oct 2014 - Dec 2014,"559,398",Tatsunoko Production,"['Action', 'Sci-Fi', 'Suspense', 'Police', 'Psychological']",Original,R - 17+ (violence & profanity),Monster,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,TV,11
263,Barakamon,8.4,TV (12 eps),Jul 2014 - Sep 2014,"558,556",Kinema Citrus,"['Comedy', 'Slice of Life']",Web manga,PG-13 - Teens 13 or older,Usagi Drop,"['Adaptation:', 'Other:', 'Prequel:']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
264,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.02,TV (12 eps),Jul 2013 - Sep 2013,"557,965",SILVER LINK.,"['Comedy', 'Slice of Life', 'School']",Web manga,PG-13 - Teens 13 or older,NHK ni Youkoso!,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
265,Fruits Basket 1st Season,8.22,TV (25 eps),Apr 2019 - Sep 2019,"555,200",TMS Entertainment,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Kamisama Hajimemashita,"['Adaptation:', 'Alternative version:', 'Sequel:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,TV,25
266,IS: Infinite Stratos,6.69,TV (12 eps),Jan 2011 - Apr 2011,"554,297",8bit,"['Action', 'Comedy', 'Sci-Fi', 'Ecchi', 'Harem', 'Mecha']",Light novel,PG-13 - Teens 13 or older,Date A Live,"['Adaptation:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,TV,12
267,Amagi Brilliant Park,7.49,TV (13 eps),Oct 2014 - Dec 2014,"553,976",Kyoto Animation,"['Comedy', 'Drama', 'Fantasy']",Light novel,PG-13 - Teens 13 or older,Arakawa Under the Bridge,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,13
268,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.49,Movie (1 eps),Aug 2019 - Aug 2019,"552,682",J.C.Staff,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Parody']",Light novel,PG-13 - Teens 13 or older,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Adaptation:', 'Prequel:', 'Other:']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Movie,1
269,Strike the Blood,7.09,TV (24 eps),Oct 2013 - Mar 2014,"552,443",Connect,"['Action', 'Fantasy', 'Supernatural', 'Ecchi', 'Harem', 'School', 'Vampire']",Light novel,R+ - Mild Nudity,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TV,24
270,Kami nomi zo Shiru Sekai,7.7,TV (12 eps),Oct 2010 - Dec 2010,"551,627",Manglobe,"['Comedy', 'Romance', 'Supernatural', 'Harem', 'Shounen']",Manga,PG-13 - Teens 13 or older,Date A Live,"['Adaptation:', 'Prequel:', 'Sequel:', 'Other:', 'Spin-off:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
271,Kuzu no Honkai,7.23,TV (12 eps),Jan 2017 - Mar 2017,"551,243",Lerche,"['Drama', 'Romance', 'School', 'Seinen']",Manga,R+ - Mild Nudity,Domestic na Kanojo,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,TV,12
272,Shinmai Maou no Testament,6.75,TV (12 eps),Jan 2015 - Mar 2015,"550,375",Production IMS,"['Action', 'Fantasy', 'Romance', 'Ecchi', 'Demons', 'Harem']",Light novel,R+ - Mild Nudity,High School DxD,"['Adaptation:', 'Sequel:', 'Other:']",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
273,Grand Blue,8.42,TV (12 eps),Jul 2018 - Sep 2018,"549,705",Zero-G,"['Comedy', 'Slice of Life', 'Seinen']",Manga,PG-13 - Teens 13 or older,Prison School,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,TV,12
274,Gakusen Toshi Asterisk,6.86,TV (12 eps),Oct 2015 - Dec 2015,"549,662",A-1 Pictures,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Rakudai Kishi no Cavalry,"['Adaptation:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,TV,12
275,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,6.92,TV (12 eps),Jul 2018 - Sep 2018,"548,798",Ajia-Do,"['Comedy', 'Fantasy', 'Ecchi', 'Harem']",Light novel,PG-13 - Teens 13 or older,Overlord,"['Adaptation:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
276,Yuu☆Yuu☆Hakusho,8.45,TV (112 eps),Oct 1992 - Jan 1995,"549,159",Studio Pierrot,"['Action', 'Comedy', 'Supernatural', 'Demons', 'Martial Arts', 'Shounen']",Manga,PG-13 - Teens 13 or older,Hunter x Hunter (2011),"['Adaptation:', 'Side story:', 'Summary:', 'Sequel:']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,112
277,Nanatsu no Taizai: Kamigami no Gekirin,6.44,TV (24 eps),Oct 2019 - Mar 2020,"547,612",Marvy Jack,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Highlander: The Search for Vengeance,"['Adaptation:', 'Prequel:', 'Other:', 'Sequel:']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,24
278,3-gatsu no Lion,8.41,TV (22 eps),Oct 2016 - Mar 2017,"547,925",Shaft,"['Drama', 'Slice of Life', 'Game', 'Seinen']",Manga,PG-13 - Teens 13 or older,Shigatsu wa Kimi no Uso,"['Adaptation:', 'Other:', 'Summary:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TV,22
279,Sukitte Ii na yo.,7.45,TV (13 eps),Oct 2012 - Dec 2012,"548,218",Zexcs,"['Drama', 'Romance', 'School', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Kimi ni Todoke,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,TV,13
280,Sword Art Online: Alicization - War of Underworld,7.58,TV (12 eps),Oct 2019 - Dec 2019,"546,830",Egg Firm,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,R - 17+ (violence & profanity),"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Adaptation:', 'Prequel:', 'Sequel:', 'Summary:']",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
281,Domestic na Kanojo,6.72,TV (12 eps),Jan 2019 - Mar 2019,"545,793",Diomedéa,"['Drama', 'Romance', 'School', 'Shounen']",Manga,R+ - Mild Nudity,Kuzu no Honkai,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TV,12
282,Ore Monogatari!!,7.93,TV (24 eps),Apr 2015 - Sep 2015,"544,930",Madhouse,"['Comedy', 'Romance', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Kimi ni Todoke,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TV,24
283,Fumetsu no Anata e,8.49,TV (20 eps),Apr 2021 - Aug 2021,"544,115",Brain's Base,"['Adventure', 'Drama', 'Supernatural', 'Shounen']",Manga,R - 17+ (violence & profanity),Dororo,"['Adaptation:', 'Summary:', 'Sequel:']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,20
284,Haikyuu!!: To the Top 2nd Season,8.54,TV (12 eps),Oct 2020 - Dec 2020,"541,169",Production I.G,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kuroko no Basket,"['Adaptation:', 'Prequel:']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
285,To LOVE-Ru,7.03,TV (26 eps),Apr 2008 - Sep 2008,"540,908",Xebec,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi', 'Harem', 'School', 'Shounen']",Manga,R+ - Mild Nudity,Rosario to Vampire,"['Adaptation:', 'Sequel:']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,TV,26
286,Blend S,7.32,TV (12 eps),Oct 2017 - Dec 2017,"538,145",A-1 Pictures,"['Comedy', 'Slice of Life']",4-koma manga,PG-13 - Teens 13 or older,Working!!,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
287,Wonder Egg Priority,7.88,TV (12 eps),Jan 2021 - Mar 2021,"537,473",CloverWorks,"['Drama', 'Fantasy', 'Psychological']",Original,R - 17+ (violence & profanity),Mahou Shoujo Madoka★Magica,['Sequel:'],0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TV,12
288,Akagami no Shirayuki-hime,7.77,TV (12 eps),Jul 2015 - Sep 2015,"537,431",Bones,"['Drama', 'Fantasy', 'Romance', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Akatsuki no Yona,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TV,12
289,Bakuman.,8.21,TV (25 eps),Oct 2010 - Apr 2011,"536,655",J.C.Staff,"['Comedy', 'Drama', 'Romance', 'Shounen']",Manga,PG-13 - Teens 13 or older,Shirobako,"['Adaptation:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,25
290,Gamers!,6.84,TV (12 eps),Jul 2017 - Sep 2017,"535,479",Pine Jam,"['Comedy', 'Romance', 'Game', 'School']",Light novel,PG-13 - Teens 13 or older,Jaku-Chara Tomozaki-kun,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
291,Log Horizon 2nd Season,7.6,TV (25 eps),Oct 2014 - Mar 2015,"531,309",Studio Deen,"['Action', 'Adventure', 'Fantasy', 'Game']",Light novel,PG-13 - Teens 13 or older,Sword Art Online II,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,25
292,Rokka no Yuusha,7.32,TV (12 eps),Jul 2015 - Sep 2015,"531,123",Passione,"['Action', 'Adventure', 'Fantasy', 'Mystery']",Light novel,PG-13 - Teens 13 or older,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"['Adaptation:', 'Side story:']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
293,Dragon Ball GT,6.46,TV (64 eps),Feb 1996 - Nov 1997,"531,716",Toei Animation,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Wild Arms: Twilight Venom,"['Prequel:', 'Sequel:', 'Other:']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TV,64
294,Ergo Proxy,7.91,TV (23 eps),Feb 2006 - Aug 2006,"530,648",Manglobe,"['Mystery', 'Sci-Fi', 'Psychological']",Original,R - 17+ (violence & profanity),Serial Experiments Lain,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TV,23
295,Saenai Heroine no Sodatekata,7.51,TV (12 eps),Jan 2015 - Mar 2015,"529,297",A-1 Pictures,"['Comedy', 'Romance', 'Ecchi', 'Harem', 'School']",Light novel,PG-13 - Teens 13 or older,Shoujo-tachi wa Kouya wo Mezasu,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
296,Suzumiya Haruhi no Shoushitsu,8.63,Movie (1 eps),Feb 2010 - Feb 2010,"529,112",Kyoto Animation,"['Comedy', 'Mystery', 'Romance', 'Sci-Fi', 'Supernatural', 'School']",Light novel,PG-13 - Teens 13 or older,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['Adaptation:', 'Prequel:', 'Alternative version:']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Movie,1
297,Hataraku Saibou (TV),7.59,TV (13 eps),Jul 2018 - Sep 2018,"528,273",David Production,"['Comedy', 'Shounen']",Manga,PG-13 - Teens 13 or older,Dr. Stone,"['Adaptation:', 'Other:', 'Side story:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,13
298,Vampire Knight,6.95,TV (13 eps),Apr 2008 - Jul 2008,"527,465",Studio Deen,"['Drama', 'Mystery', 'Romance', 'Supernatural', 'Vampire', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Diabolik Lovers,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,TV,13
299,Little Witch Academia (TV),7.85,TV (25 eps),Jan 2017 - Jun 2017,"526,588",Trigger,"['Adventure', 'Comedy', 'Fantasy', 'School']",Original,G - All Ages,Boku no Hero Academia,['Alternative version:'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,25
300,Pokemon,7.35,TV (276 eps),Apr 1997 - Nov 2002,"527,425",OLM,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",Game,PG - Children,Digimon Adventure,"['Adaptation:', 'Side story:', 'Alternative setting:', 'Sequel:', 'Summary:', 'Other:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TV,276
301,"Ijiranaide, Nagatoro-san",7.47,TV (12 eps),Apr 2021 - Jun 2021,"521,894",Telecom Animation Film,"['Comedy', 'Romance', 'Slice of Life']",Manga,PG-13 - Teens 13 or older,Karakai Jouzu no Takagi-san,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,12
302,Zetsuen no Tempest,7.96,TV (24 eps),Oct 2012 - Mar 2013,"521,548",Bones,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Psychological', 'Shounen']",Manga,PG-13 - Teens 13 or older,Mawaru Penguindrum,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TV,24
303,Nagi no Asu kara,8.03,TV (26 eps),Oct 2013 - Apr 2014,"520,483",P.A. Works,"['Drama', 'Fantasy', 'Romance']",Original,PG-13 - Teens 13 or older,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,26
304,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.4,TV (12 eps),Jul 2020 - Sep 2020,"519,814",feel.,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Just Because!,"['Adaptation:', 'Prequel:', 'Other:']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
305,Hotaru no Haka,8.5,Movie (1 eps),Apr 1988 - Apr 1988,"518,958",Studio Ghibli,"['Drama', 'Historical']",Novel,PG-13 - Teens 13 or older,Hadashi no Gen,[],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Movie,1
306,Sankarea,7.32,TV (12 eps),Apr 2012 - Jun 2012,"517,145",Studio Deen,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi', 'Shounen']",Manga,R+ - Mild Nudity,Tasogare Otome x Amnesia,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
307,Date A Live II,7.21,TV (10 eps),Apr 2014 - Jun 2014,"515,931",Production IMS,"['Comedy', 'Romance', 'Sci-Fi', 'Harem', 'Mecha', 'School']",Light novel,R - 17+ (violence & profanity),Nyan Koi!,"['Adaptation:', 'Prequel:', 'Side story:', 'Sequel:']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,TV,10
308,Kamisama Hajimemashita,8.06,TV (13 eps),Oct 2012 - Dec 2012,"515,278",TMS Entertainment,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Demons', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Noragami,"['Adaptation:', 'Sequel:']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,TV,13
309,Toaru Kagaku no Railgun,7.7,TV (24 eps),Oct 2009 - Mar 2010,"514,505",J.C.Staff,"['Action', 'Sci-Fi', 'Super Power']",Manga,PG-13 - Teens 13 or older,Darker than Black: Kuro no Keiyakusha,"['Adaptation:', 'Parent story:', 'Spin-off:', 'Side story:', 'Sequel:', 'Character:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TV,24
310,Koukaku Kidoutai,8.29,Movie (1 eps),Nov 1995 - Nov 1995,"514,410",Production I.G,"['Action', 'Sci-Fi', 'Mecha', 'Police', 'Psychological', 'Seinen']",Manga,R+ - Mild Nudity,Akira,"['Adaptation:', 'Alternative setting:', 'Sequel:', 'Alternative version:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,Movie,1
311,Grisaia no Kajitsu,7.52,TV (13 eps),Oct 2014 - Dec 2014,"511,187",8bit,"['Drama', 'Romance', 'Harem', 'Psychological', 'School']",Visual novel,R+ - Mild Nudity,Mahouka Koukou no Rettousei,"['Adaptation:', 'Sequel:', 'Side story:']",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TV,13
312,Beelzebub,7.89,TV (60 eps),Jan 2011 - Mar 2012,"511,079",Pierrot Plus,"['Action', 'Comedy', 'Supernatural', 'Demons', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Gintama,"['Adaptation:', 'Alternative version:', 'Other:']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,TV,60
313,Shiki,7.76,TV (22 eps),Jul 2010 - Dec 2010,"508,635",Daume,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Vampire']",Manga,R - 17+ (violence & profanity),Higurashi no Naku Koro ni,"['Adaptation:', 'Side story:']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,TV,22
314,Inuyashiki,7.67,TV (11 eps),Oct 2017 - Dec 2017,"506,847",MAPPA,"['Action', 'Drama', 'Sci-Fi', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Death Note,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,TV,11
315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,7.51,TV (10 eps),Jan 2013 - Mar 2013,"504,322",Diomedéa,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",Light novel,PG-13 - Teens 13 or older,No Game No Life,"['Adaptation:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,10
316,Enen no Shouboutai: Ni no Shou,7.75,TV (24 eps),Jul 2020 - Dec 2020,"502,091",David Production,"['Action', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Shingeki no Kyojin,"['Adaptation:', 'Prequel:']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,24
