Rank,Title,Score,Format,Date,Viewers,Studio,Genres,Source,Rating,Recommendation,Details,Prequel,Sequel,Samurai,Demons,Sports,Harem,Cars,Drama,Adventure,Suspense,Josei,Game,Space,Mystery,Horror,Shounen,Super Power,Music,Vampire,Boys Love,Military,Action,Romance,Slice of Life,Fantasy,Gourmet,Parody,Martial Arts,Ecchi,Sci-Fi,Seinen,Mecha,Avant Garde,School,Supernatural,Historical,Girls Love,Shoujo,Kids,Psychological,Police,Comedy,Media,Episodes
833,Noblesse,6.84,TV (13 eps),Oct 2020 - Dec 2020,"208,374",Production I.G,"['Action', 'Supernatural', 'School', 'Vampire']",Web manga,R - 17+ (violence & profanity),"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","['Adaptation:', 'Prequel:']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TV,13
834,Higurashi no Naku Koro ni Gou,7.25,TV (24 eps),Oct 2020 - Mar 2021,"208,282",Passione,"['Avant Garde', 'Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological']",Visual novel,R - 17+ (violence & profanity),Mahou Shoujo Madoka★Magica,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,TV,24
835,One Piece Film: Z,8.17,Movie (1 eps),Dec 2012 - Dec 2012,"208,209",Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",Manga,PG-13 - Teens 13 or older,Wonder Egg Priority,"['Parent story:', 'Prequel:']",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Movie,1
836,Koi to Senkyo to Chocolate,7.04,TV (12 eps),Jul 2012 - Sep 2012,"207,794",AIC Build,"['Drama', 'Romance', 'School']",Visual novel,PG-13 - Teens 13 or older,Boku wa Tomodachi ga Sukunai,"['Adaptation:', 'Sequel:', 'Other:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TV,12
837,Kanojo mo Kanojo,6.72,TV (12 eps),Jul 2021 - Sep 2021,"207,063",Tezuka Productions,"['Comedy', 'Romance', 'Harem', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,"Kanojo, Okarishimasu",['Adaptation:'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,12
838,Persona 5 the Animation,6.44,TV (26 eps),Apr 2018 - Sep 2018,"207,105",CloverWorks,"['Action', 'Fantasy', 'Supernatural']",Game,R - 17+ (violence & profanity),Code Geass: Hangyaku no Lelouch,"['Adaptation:', 'Alternative setting:', 'Other:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,26
839,Binbougami ga!,7.7,TV (13 eps),Jul 2012 - Sep 2012,"207,171",Sunrise,"['Comedy', 'Supernatural', 'Parody', 'Shounen']",Manga,PG-13 - Teens 13 or older,Gintama,['Adaptation:'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,13
840,"Tokyo Ghoul: ""Jack""",7.34,OVA (1 eps),Sep 2015 - Sep 2015,"207,107",Studio Pierrot,"['Action', 'Drama', 'Horror', 'Supernatural', 'School', 'Seinen']",Manga,R - 17+ (violence & profanity),Ajin OVA,"['Adaptation:', 'Parent story:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,OVA,1
841,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special (1 eps),Dec 2015 - Dec 2015,"206,970",White Fox,"['Sci-Fi', 'Suspense']",Visual novel,PG-13 - Teens 13 or older,Wonder Egg Priority,"['Alternative version:', 'Sequel:']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Special,1
842,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),7.82,Movie (1 eps),Dec 2007 - Dec 2007,"207,069",ufotable,"['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",Light novel,R - 17+ (violence & profanity),Denpa-teki na Kanojo,"['Adaptation:', 'Prequel:', 'Sequel:', 'Summary:', 'Other:']",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
